,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
50190,5251104,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 69, 'y': 56}",Venezia,Salernitana,M. Aramu,0,31.0,56.0,6.0,32.80470850350601,0.22054991305128974,7.235075608121156,1076.1488999999997,35302.750970868634,16.304708503506014,265.8435193843013,4334.501091107183
50677,5251104,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 75, 'y': 59}",Venezia,Salernitana,M. Aramu,0,25.0,59.0,9.0,26.953977443041683,0.2631984357153702,7.094244699315945,726.5168999999999,19582.52013458857,10.453977443041683,109.28564437962433,1142.469661192868
51516,5251248,free_kick,"['free_kick_shot', 'shot']","{'x': 77, 'y': 63}",Atalanta,Salernitana,L. Muriel,0,23.0,63.0,13.0,25.717077983316845,0.26633568683229386,6.849375628006355,661.3681,17008.455003378094,9.217077983316845,84.95452655054412,783.0324962521264
52719,5251248,free_kick,"['free_kick_shot', 'shot']","{'x': 70, 'y': 55}",Salernitana,Atalanta,G. Kastanos,0,30.0,55.0,5.0,31.682960720235727,0.22873711889640908,7.2470691532548175,1003.81,31803.672800579825,15.182960720235727,230.52229623222098,3500.0109688323555
53782,5251254,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 71, 'y': 29}",Roma,Bologna,J. Veretout,0,29.0,29.0,21.0,33.632140877440435,0.1968354139019253,6.619996370018849,1131.1209,38042.01745821721,17.132140877440435,293.5102510444655,5028.458969866691
55864,5251257,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 79, 'y': 37}",Udinese,Internazionale,Gerard Deulofeu,0,21.0,37.0,13.0,23.756011870682336,0.2849838846208156,6.770080546005261,564.3481,13406.660162797023,7.256011870682336,52.64970826748297,382.0269081768184
57044,5251250,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 79, 'y': 51}",Empoli,Torino,K. Asllani,0,21.0,51.0,1.0,22.060482768969496,0.32867468087082835,7.250722133947457,486.66490000000005,10736.062640712264,5.5604827689694964,30.918968624006677,171.92439226809765
60280,5251251,free_kick,"['free_kick_shot', 'shot']","{'x': 74, 'y': 40}",Venezia,Juventus,S. Kiyine,0,26.0,40.0,10.0,28.134142958334454,0.25138171806636384,7.072409193190807,791.5300000000002,22269.018175810474,11.634142958334454,135.35328237496316,1574.7194370301327
60539,5251251,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 79, 'y': 56}",Venezia,Juventus,M. Aramu,0,21.0,56.0,6.0,22.424292630983928,0.31853826360529075,7.142995237250537,502.84890000000007,11276.030882768377,5.924292630983928,35.097243177530466,207.9263391244947
63880,5251255,free_kick,"['free_kick_shot', 'shot']","{'x': 77, 'y': 51}",Sampdoria,Genoa,A. Sabiri,0,23.0,51.0,1.0,24.159571602162153,0.30058697994812517,7.2620526647344095,583.6849,14101.577134650854,7.659571602162153,58.66903712864889,449.379690716796
64245,5251249,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 77, 'y': 13}",Cagliari,Hellas Verona,R. Marin,0,23.0,13.0,37.0,34.874748744614635,0.14592105569625213,5.088960153955711,1216.2481,42416.34689861494,18.374748744614635,337.6313914277171,6203.891985778938
64611,5251249,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 75, 'y': 40}",Cagliari,Hellas Verona,R. Marin,0,25.0,40.0,10.0,27.116461789842717,0.26013869378648546,7.054040950120828,735.3025000000001,19938.802145225825,10.616461789842717,112.70926093519041,1196.5735620798614
64720,5251249,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 71, 'y': 37}",Hellas Verona,Cagliari,I. Ilić,0,29.0,37.0,13.0,31.707224728758586,0.22103106123489052,7.008281530610674,1005.3480999999999,31876.79813733046,15.207224728758586,231.25968395096666,3516.817984544035
65164,5251249,free_kick,"['free_kick_shot', 'goal', 'opportunity', 'shot']","{'x': 81, 'y': 48}",Cagliari,Hellas Verona,João Pedro,1,19.0,48.0,2.0,19.996302158149142,0.3612927953601346,7.224519903583595,399.8521,7995.563410170467,3.496302158149142,12.224128781078347,42.73924783877726
65799,5251249,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 72, 'y': 60}",Hellas Verona,Cagliari,Miguel Veloso,0,28.0,60.0,10.0,30.17614952242913,0.23541739949285864,7.103990647277935,910.5999999999999,27478.401755123963,13.676149522429132,187.03706575983855,2557.9468775679625
68374,5251098,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 81, 'y': 28}",Atalanta,Torino,L. Muriel,0,19.0,28.0,22.0,24.936000080205325,0.2355697842561888,5.874168159106275,621.8041,15505.307087472,8.436000080205325,71.16609735322425,600.3572029796998
71776,5251100,free_kick,"['free_kick_shot', 'shot']","{'x': 75, 'y': 20}",Fiorentina,Udinese,C. Biraghi,0,25.0,20.0,30.0,33.24488682489384,0.1742055395205792,5.791443445631227,1105.2225,36742.99692882623,16.74488682489384,280.3912347785033,4695.119493058275
72212,5251100,free_kick,"['free_kick_shot', 'shot']","{'x': 67, 'y': 44}",Fiorentina,Udinese,C. Biraghi,0,33.0,44.0,6.0,34.889380905943284,0.20764813442209992,7.244714856261157,1217.2688999999998,42469.75831705858,18.389380905943284,338.16933010387146,6218.724621987765
72430,5251245,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 79, 'y': 38}",Juventus,Sassuolo,Álvaro Morata,0,21.0,38.0,12.0,23.51144614863152,0.29075631826853376,6.836101519344999,552.7881,12996.847644754334,7.011446148631521,49.16037709515979,344.6853366491313
74268,5251243,free_kick,"['free_kick_shot', 'shot']","{'x': 79, 'y': 32}",Milan,Lazio,S. Tonali,0,21.0,32.0,18.0,25.219438931110265,0.25365127094675827,6.396942737440273,636.0201000000001,16040.070070908645,8.719438931110265,76.02861527336131,662.9268678929511
74929,5251243,free_kick,"['free_kick_shot', 'opportunity', 'shot']","{'x': 71, 'y': 35}",Milan,Lazio,Theo Hernández,0,29.0,35.0,15.0,32.11296467160888,0.21558270392084564,6.922999754820033,1031.2424999999998,33116.25397036162,15.612964671608879,243.76466583690694,3805.889115898172
77338,5251240,free_kick,"['free_kick_shot', 'shot']","{'x': 70, 'y': 49}",Cagliari,Genoa,R. Marin,0,30.0,49.0,1.0,31.507338827644585,0.23123823098987362,7.2857012937030925,992.7124,31277.72594520424,15.007338827644585,225.22021868772873,3379.956132682956
77707,5251238,free_kick,"['free_kick_shot', 'shot']","{'x': 72, 'y': 21}",Bologna,Udinese,M. Barrow,0,28.0,21.0,29.0,35.40110732731392,0.17186446639215958,6.0841924205003775,1253.2383999999995,44366.02710511116,18.901107327313923,357.2518581986401,6752.455714694831
