,matchId,Type,SecondaryType,location,team,opponentTeam,Player,goal,X,Y,C,distance,angle,arc_length,distance_squared,distance_cube,adj_distance,adj_distance_squared,adj_distance_cube
71605,5251100,free_kick,['free_kick_cross'],"{'x': 83, 'y': 91}",Fiorentina,Udinese,C. Biraghi,0,17.0,91.0,41.0,33.10463562705381,0.12012046068160911,3.9765440822185134,1095.9169000000004,36279.92965203038,16.60463562705381,275.71392430722466,4578.12925042656
71647,5251100,free_kick,['free_kick_cross'],"{'x': 71, 'y': 11}",Fiorentina,Udinese,C. Biraghi,0,29.0,11.0,39.0,40.37960995353967,0.13697110437408713,5.53083976953121,1630.5129,65839.47492621484,23.87960995353967,570.2357715331909,13617.007805768359
71929,5251100,free_kick,['free_kick_cross'],"{'x': 72, 'y': 97}",Udinese,Fiorentina,Gerard Deulofeu,0,28.0,97.0,47.0,43.42581720589723,0.11443446466532875,4.969410144611272,1885.8016,81892.47556818853,26.925817205897232,724.9996322053914,19521.207571105093
71963,5251100,free_kick,['free_kick_cross'],"{'x': 75, 'y': 13}",Fiorentina,Udinese,C. Biraghi,0,25.0,13.0,37.0,36.36052942408842,0.14578429148964447,5.300794020279101,1322.0880999999997,48071.82326128714,19.86052942408842,394.44062900508186,7833.799718411373
72269,5251100,free_kick,['free_kick_cross'],"{'x': 83, 'y': 9}",Fiorentina,Udinese,C. Biraghi,0,17.0,9.0,41.0,33.10463562705381,0.12012046068160911,3.9765440822185134,1095.9169000000004,36279.92965203038,16.60463562705381,275.71392430722466,4578.12925042656
73464,5251245,free_kick,['free_kick_cross'],"{'x': 77, 'y': 29}",Sassuolo,Juventus,G. Raspadori,0,23.0,29.0,21.0,28.056031437108135,0.22461527894933872,6.30181332745746,787.1409,22084.04983583359,11.556031437108135,133.5418625754315,1543.213962091661
74720,5251243,free_kick,['free_kick_cross'],"{'x': 71, 'y': 97}",Milan,Lazio,S. Tonali,0,29.0,97.0,47.0,44.14344911762107,0.11467063365270318,5.061957281933469,1948.6441000000002,86019.8716767025,27.643449117621067,764.160279118505,21124.025793519504
75210,5251243,free_kick,['free_kick_cross'],"{'x': 90, 'y': 91}",Milan,Lazio,Junior Messias,0,10.0,91.0,41.0,29.791683403258702,0.08769999803992237,2.612730576071776,887.5444,26441.441771135203,13.291683403258702,176.66884769246283,2348.2263907467477
75541,5251243,free_kick,['free_kick_cross'],"{'x': 91, 'y': 8}",Milan,Lazio,Theo Hernández,0,9.0,8.0,42.0,30.082820678919056,0.07743069770417553,2.329333794078302,904.9761,27224.233735007518,13.582820678919056,184.49301759567112,2505.935574514659
76043,5251240,free_kick,['free_kick_cross'],"{'x': 64, 'y': 74}",Cagliari,Genoa,R. Marin,0,36.0,74.0,24.0,41.17259282581071,0.1630641881810444,6.7137754244495165,1695.1823999999997,69795.05472068056,24.67259282581071,608.7368367482461,15019.116111161484
